Sample 1
3/1/2023 3:44 PM
Wavelength (nm)	10mm Absorbance
771.0	0.378
771.5	0.287
772.0	0.310
772.5	0.309
773.0	0.377
773.5	0.439
774.0	0.505
774.5	0.493
775.0	0.522
775.5	0.574
776.0	0.473
776.5	0.321
777.0	0.325
777.5	0.338
778.0	0.312
778.5	0.276
779.0	0.211
779.5	0.174
780.0	0.177
780.5	0.152
781.0	0.059
781.5	0.085
782.0	0.065
782.5	0.133
783.0	0.204
783.5	0.246
784.0	0.277
784.5	0.250
785.0	0.168
785.5	0.077
786.0	-0.022
786.5	-0.114
787.0	-0.222
787.5	-0.224
788.0	-0.197
788.5	-0.162
789.0	-0.080
789.5	-0.081
790.0	0.034
790.5	0.151
791.0	0.212
791.5	0.249
792.0	0.280
792.5	0.272
793.0	0.310
793.5	0.295
794.0	0.331
794.5	0.356
795.0	0.339
795.5	0.292
796.0	0.199
796.5	0.092
797.0	0.067
797.5	0.051
798.0	0.137
798.5	0.182
799.0	0.231
799.5	0.273
800.0	0.234
800.5	0.195
801.0	0.090
801.5	-0.009
802.0	0.024
802.5	0.006
803.0	0.090
803.5	0.174
804.0	0.230
804.5	0.353
805.0	0.379
805.5	0.304
806.0	0.176
806.5	0.036
807.0	-0.008
807.5	-0.010
808.0	0.083
808.5	0.278
809.0	0.470
809.5	0.613
810.0	0.664
810.5	0.624
811.0	0.451
811.5	0.301
812.0	0.222
812.5	0.154
813.0	0.094
813.5	0.087
814.0	0.052
814.5	0.066
815.0	0.067
815.5	0.123
816.0	0.191
816.5	0.228
817.0	0.204
817.5	0.141
818.0	0.064
818.5	0.070
819.0	0.098
819.5	0.170
820.0	0.239
820.5	0.366
821.0	0.457
821.5	0.442
822.0	0.426
822.5	0.399
823.0	0.359
823.5	0.399
824.0	0.369
824.5	0.306
825.0	0.233
825.5	0.225
826.0	0.233
826.5	0.243
827.0	0.279
827.5	0.285
828.0	0.256
828.5	0.287
829.0	0.326
829.5	0.339
830.0	0.346
830.5	0.418
831.0	0.477
831.5	0.486
832.0	0.394
832.5	0.178
833.0	0.030
833.5	-0.070
834.0	-0.068
834.5	-0.040
835.0	-0.005
835.5	0.114
836.0	0.248
836.5	0.379
837.0	0.515
837.5	0.441
838.0	0.364
838.5	0.270
839.0	0.204
839.5	0.076
840.0	-0.084
840.5	-0.181
841.0	-0.187
841.5	-0.204
842.0	-0.055
842.5	0.095
843.0	0.170
843.5	0.300
844.0	0.294
844.5	0.248
845.0	0.147
845.5	0.059
846.0	-0.092
846.5	-0.376
847.0	-0.289
847.5	-0.088
848.0	-0.173
848.5	-0.176
849.0	-0.163
849.5	-0.121
850.0	-0.208


Sample b1 1
3/1/2023 3:47 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.02000	
//WLCalib: 261S 	-0.34000	
//WLCalib: 362S 	-0.41000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.12000	
//WLCalib: 823S 	-0.33000	
//QSpecEnd: 
190.0	11.809
190.5	11.905
191.0	11.993
191.5	12.036
192.0	12.013
192.5	12.012
193.0	12.055
193.5	12.277
194.0	12.448
194.5	12.558
195.0	12.791
195.5	13.006
196.0	13.221
196.5	13.253
197.0	13.212
197.5	13.248
198.0	13.357
198.5	13.448
199.0	13.420
199.5	13.437
200.0	13.498
200.5	13.478
201.0	13.698
201.5	13.771
202.0	13.937
202.5	14.179
203.0	14.304
203.5	14.311
204.0	14.305
204.5	14.175
205.0	14.097
205.5	14.001
206.0	13.895
206.5	13.744
207.0	13.580
207.5	13.481
208.0	13.329
208.5	13.112
209.0	12.882
209.5	12.641
210.0	12.516
210.5	12.382
211.0	12.142
211.5	11.992
212.0	11.826
212.5	11.763
213.0	11.587
213.5	11.313
214.0	10.990
214.5	10.585
215.0	10.339
215.5	9.958
216.0	9.569
216.5	9.344
217.0	9.142
217.5	8.912
218.0	8.676
218.5	8.433
219.0	8.263
219.5	8.030
220.0	7.904
220.5	7.624
221.0	7.398
221.5	7.256
222.0	7.017
222.5	6.751
223.0	6.530
223.5	6.326
224.0	6.172
224.5	5.960
225.0	5.749
225.5	5.556
226.0	5.384
226.5	5.211
227.0	5.005
227.5	4.824
228.0	4.694
228.5	4.593
229.0	4.520
229.5	4.452
230.0	4.370
230.5	4.297
231.0	4.223
231.5	4.142
232.0	4.056
232.5	3.978
233.0	3.962
233.5	3.947
234.0	3.903
234.5	3.874
235.0	3.813
235.5	3.769
236.0	3.712
236.5	3.653
237.0	3.555
237.5	3.496
238.0	3.453
238.5	3.389
239.0	3.373
239.5	3.363
240.0	3.348
240.5	3.341
241.0	3.332
241.5	3.314
242.0	3.286
242.5	3.258
243.0	3.229
243.5	3.238
244.0	3.283
244.5	3.300
245.0	3.298
245.5	3.315
246.0	3.321
246.5	3.339
247.0	3.326
247.5	3.327
248.0	3.340
248.5	3.360
249.0	3.362
249.5	3.357
250.0	3.379
250.5	3.414
251.0	3.391
251.5	3.395
252.0	3.417
252.5	3.445
253.0	3.422
253.5	3.457
254.0	3.471
254.5	3.505
255.0	3.557
255.5	3.554
256.0	3.507
256.5	3.507
257.0	3.519
257.5	3.494
258.0	3.451
258.5	3.490
259.0	3.502
259.5	3.499
260.0	3.514
260.5	3.512
261.0	3.509
261.5	3.505
262.0	3.539
262.5	3.542
263.0	3.510
263.5	3.492
264.0	3.463
264.5	3.458
265.0	3.486
265.5	3.497
266.0	3.496
266.5	3.470
267.0	3.470
267.5	3.408
268.0	3.365
268.5	3.308
269.0	3.250
269.5	3.247
270.0	3.239
270.5	3.168
271.0	3.101
271.5	3.067
272.0	3.009
272.5	2.952
273.0	2.937
273.5	2.902
274.0	2.881
274.5	2.888
275.0	2.880
275.5	2.811
276.0	2.788
276.5	2.766
277.0	2.700
277.5	2.645
278.0	2.630
278.5	2.626
279.0	2.612
279.5	2.602
280.0	2.607
280.5	2.579
281.0	2.571
281.5	2.546
282.0	2.513
282.5	2.471
283.0	2.456
283.5	2.442
284.0	2.420
284.5	2.393
285.0	2.383
285.5	2.362
286.0	2.384
286.5	2.363
287.0	2.328
287.5	2.304
288.0	2.277
288.5	2.231
289.0	2.195
289.5	2.118
290.0	2.090
290.5	2.047
291.0	2.061
291.5	2.021
292.0	2.022
292.5	2.046
293.0	2.068
293.5	2.041
294.0	2.034
294.5	2.003
295.0	1.986
295.5	1.945
296.0	1.933
296.5	1.898
297.0	1.912
297.5	1.911
298.0	1.899
298.5	1.836
299.0	1.799
299.5	1.764
300.0	1.719
300.5	1.699
301.0	1.696
301.5	1.695
302.0	1.710
302.5	1.686
303.0	1.662
303.5	1.655
304.0	1.658
304.5	1.686
305.0	1.684
305.5	1.706
306.0	1.700
306.5	1.662
307.0	1.630
307.5	1.582
308.0	1.559
308.5	1.591
309.0	1.589
309.5	1.593
310.0	1.574
310.5	1.580
311.0	1.559
311.5	1.511
312.0	1.464
312.5	1.439
313.0	1.430
313.5	1.449
314.0	1.424
314.5	1.405
315.0	1.403
315.5	1.421
316.0	1.406
316.5	1.387
317.0	1.338
317.5	1.312
318.0	1.319
318.5	1.313
319.0	1.333
319.5	1.345
320.0	1.367
320.5	1.395
321.0	1.381
321.5	1.410
322.0	1.364
322.5	1.336
323.0	1.322
323.5	1.280
324.0	1.277
324.5	1.248
325.0	1.249
325.5	1.241
326.0	1.196
326.5	1.197
327.0	1.180
327.5	1.162
328.0	1.165
328.5	1.137
329.0	1.112
329.5	1.065
330.0	1.061
330.5	1.081
331.0	1.082
331.5	1.056
332.0	1.102
332.5	1.116
333.0	1.168
333.5	1.172
334.0	1.152
334.5	1.090
335.0	1.076
335.5	1.090
336.0	1.041
336.5	0.982
337.0	1.013
337.5	1.033
338.0	1.076
338.5	1.106
339.0	1.140
339.5	1.153
340.0	1.149
340.5	1.160
341.0	1.102
341.5	1.088
342.0	1.119
342.5	1.138
343.0	1.132
343.5	1.116
344.0	1.087
344.5	1.019
345.0	0.976
345.5	0.965
346.0	0.919
346.5	0.950
347.0	0.963
347.5	0.941
348.0	0.899
348.5	0.850
349.0	0.827
349.5	0.805
350.0	0.837
350.5	0.870
351.0	0.914
351.5	0.956
352.0	0.965
352.5	0.957
353.0	0.926
353.5	0.921
354.0	0.926
354.5	0.933
355.0	0.922
355.5	0.926
356.0	0.941
356.5	0.926
357.0	0.922
357.5	0.891
358.0	0.870
358.5	0.844
359.0	0.821
359.5	0.821
360.0	0.816
360.5	0.839
361.0	0.860
361.5	0.824
362.0	0.827
362.5	0.822
363.0	0.831
363.5	0.828
364.0	0.830
364.5	0.836
365.0	0.843
365.5	0.853
366.0	0.851
366.5	0.801
367.0	0.823
367.5	0.833
368.0	0.807
368.5	0.792
369.0	0.768
369.5	0.743
370.0	0.755
370.5	0.761
371.0	0.771
371.5	0.802
372.0	0.829
372.5	0.810
373.0	0.772
373.5	0.732
374.0	0.725
374.5	0.718
375.0	0.743
375.5	0.739
376.0	0.748
376.5	0.759
377.0	0.744
